,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
186,Dundee,19,P,True,SIEMENS,mCT,False,1.0,42.79382898705065,90.0,D:/Hoffman/_Dundee/#32_DD_Hoffman_1x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
187,Dundee,20,P,True,SIEMENS,mCT,False,2.0,41.46298316630988,91.0,D:/Hoffman/_Dundee/#33_DD_Hoffman_2x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
188,Dundee,21,P,True,SIEMENS,mCT,False,3.0,40.173525336326364,92.0,D:/Hoffman/_Dundee/#34_DD_Hoffman_3x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
189,Dundee,22,P,True,SIEMENS,mCT,False,4.0,38.92416837145996,93.0,D:/Hoffman/_Dundee/#35_DD_Hoffman_4x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
190,Dundee,23,P,True,SIEMENS,mCT,False,5.0,37.713665174406884,94.0,D:/Hoffman/_Dundee/#36_DD_Hoffman_5x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
191,Dundee,24,P,True,SIEMENS,mCT,False,6.0,36.54080743135791,95.0,D:/Hoffman/_Dundee/#37_DD_Hoffman_6x5 Clinical/,3.0,400,400,56.0,"[1.01821, 1.01821]"
192,Edinburgh,01,P,False,SIEMENS,mCT,True,,,96.0,D:/Hoffman/_Edinburgh/#10_Hoff skull OSEM 3i24s 4mm 400 z1/,3.0,400,400,450.0,"[2.03642, 2.03642]"
193,Edinburgh,02,P,True,SIEMENS,mCT,False,1.0,44.87684486246901,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame1/,3.0,400,400,75.0,"[1.01821, 1.01821]"
194,Edinburgh,03,P,True,SIEMENS,mCT,False,2.0,43.48121930507097,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame2/,3.0,400,400,75.0,"[1.01821, 1.01821]"
195,Edinburgh,04,P,True,SIEMENS,mCT,False,3.0,42.12899632426743,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame3/,3.0,400,400,75.0,"[1.01821, 1.01821]"
196,Edinburgh,05,P,True,SIEMENS,mCT,False,4.0,40.818826142788225,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame4/,3.0,400,400,75.0,"[1.01821, 1.01821]"
197,Edinburgh,06,P,True,SIEMENS,mCT,False,5.0,39.54940096010331,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame5/,3.0,400,400,75.0,"[1.01821, 1.01821]"
198,Edinburgh,07,P,True,SIEMENS,mCT,False,6.0,38.31945364698765,97.0,D:/Hoffman/_Edinburgh/#11_Hoff AC OSEM+TOF 4i21s 4mm 400 z2/Frame6/,3.0,400,400,75.0,"[1.01821, 1.01821]"
199,Edinburgh,08,P,True,SIEMENS,mCT,False,1.0,44.87684486246901,98.0,D:/Hoffman/_Edinburgh/#12_Hoff AC OSEM 3i24s 4mm 400 z1/Frame1/,3.0,400,400,75.0,"[2.03642, 2.03642]"
200,Edinburgh,09,P,True,SIEMENS,mCT,False,2.0,43.48121930507097,98.0,D:/Hoffman/_Edinburgh/#12_Hoff AC OSEM 3i24s 4mm 400 z1/Frame2/,3.0,400,400,75.0,"[2.03642, 2.03642]"
201,Edinburgh,10,P,True,SIEMENS,mCT,False,3.0,42.12899632426743,98.0,D:/Hoffman/_Edinburgh/#12_Hoff AC OSEM 3i24s 4mm 400 z1/Frame3/,3.0,400,400,75.0,"[2.03642, 2.03642]"
202,Edinburgh,11,P,True,SIEMENS,mCT,False,4.0,40.818826142788225,98.0,D:/Hoffman/_Edinburgh/#12_Hoff AC OSEM 3i24s 4mm 400 z1/Frame4/,3.0,400,400,75.0,"[2.03642, 2.03642]"
